"model","feature","value","price"
"Cclass","age","1",28799.1699346405
"Cclass","age","2",24021.3286908078
"Cclass","age","3",21088.7339901478
"Cclass","age","4",18608.0488322718
"Cclass","age","5",15332.7269624573
"Cclass","age","6",14057.1654135338
"Cclass","age","7",10088.8275862069
"Cclass","age","8",8896.91304347826
"Cclass","age","9",8146.33333333333
"Cclass","age","10",6158.44444444444
"Cclass","age","11",5686.14285714286
"Cclass","age","12",4990.57142857143
"Cclass","age","13",4633
"Cclass","age","14",3445
"Cclass","age","15",2690
"Cclass","age","16",1637.5
"Cclass","age","18",1817.5
"Cclass","fuelType","Diesel",21530.7169117647
"Cclass","fuelType","Hybrid",17083.9736842105
"Cclass","fuelType","Petrol",26178.2496171516
"Cclass","Transmission","Automatic",22459.4553252323
"Cclass","Transmission","Manual",14286.8080808081
"Cclass","Transmission","Semi_Auto",24669.4014560582
"Aclass","age","1",22036.4690402477
"Aclass","age","2",18595.9065420561
"Aclass","age","3",15851.5514874142
"Aclass","age","4",14910.9
"Aclass","age","5",13338.485915493
"Aclass","age","6",12067.4077669903
"Aclass","age","7",11805.94
"Aclass","age","8",11940
"Aclass","fuelType","Diesel",16752.5315826828
"Aclass","fuelType","Petrol",19210.2085168869
"Aclass","Transmission","Automatic",17808.0646853147
"Aclass","Transmission","Manual",15106.7611510791
"Aclass","Transmission","Semi_Auto",19442.3535844471
"Eclass","age","1",33247.7059724349
"Eclass","age","2",24005.1265822785
"Eclass","age","3",21112.2992518703
"Eclass","age","4",18856.1744186047
"Eclass","age","5",16310.8413793103
"Eclass","age","6",13418.0666666667
"Eclass","age","7",12368.746031746
"Eclass","age","8",9553.44444444445
"Eclass","age","9",10610.6666666667
"Eclass","age","10",8145.5
"Eclass","age","11",4950
"Eclass","age","12",14995
"Eclass","age","13",4880
"Eclass","age","15",3740
"Eclass","age","19",3990
"Eclass","fuelType","Diesel",23305.2919216646
"Eclass","fuelType","Petrol",37693.4351145038
"Eclass","Transmission","Automatic",22319.7702702703
"Eclass","Transmission","Semi_Auto",25855.6653658537
